model,dataset,label,legacy_source,paper_auc,baseline_auc,baseline_delta_auc_vs_paper,sisa_mean_auc,sisa_std_auc,sisa_min_auc,sisa_max_auc,sisa_range_auc,sisa_mean_delta_auc_vs_baseline,sisa_mean_delta_auc_vs_paper,auc_mean_beats_baseline,auc_mean_beats_paper,auc_all_seeds_beat_baseline,auc_all_seeds_beat_paper,paper_logloss,baseline_logloss,baseline_delta_logloss_vs_paper,sisa_mean_logloss,sisa_std_logloss,sisa_min_logloss,sisa_max_logloss,sisa_range_logloss,sisa_mean_delta_logloss_vs_baseline,sisa_mean_delta_logloss_vs_paper,logloss_mean_beats_baseline,logloss_mean_beats_paper,logloss_all_seeds_beat_baseline,logloss_all_seeds_beat_paper,sisa_20262027_auc,sisa_20262027_logloss,sisa_20262028_auc,sisa_20262028_logloss,sisa_20262029_auc,sisa_20262029_logloss
HyFormer,QK_Video_Action,like,sisa_expansion_acd,0.9464,0.946457,5.699999999997374e-05,0.946867,0.0005248895121832685,0.946284,0.947302,0.0010179999999999634,0.00041000000000002146,0.0004669999999999952,True,True,False,False,0.037,0.036969,-3.099999999999631e-05,0.037218,0.0004885498950977252,0.036658,0.037557,0.000898999999999997,0.0002489999999999992,0.00021800000000000291,False,False,False,False,0.947302,0.036658,0.947015,0.037439,0.946284,0.037557
HyFormer,QK_Video_Action,share,sisa_expansion_acd,0.9305,0.92972,-0.0007800000000000029,0.9311833333333333,0.0006465789459403438,0.930531,0.931824,0.0012929999999999886,0.001463333333333261,0.0006833333333332581,True,True,True,True,0.0054,0.005374,-2.599999999999998e-05,0.005405,6.94190175672341e-05,0.005327,0.00546,0.00013299999999999944,3.099999999999978e-05,4.999999999999796e-06,False,False,False,False,0.931195,0.005327,0.930531,0.005428,0.931824,0.00546
HyFormer,TencentGR_10M_Action,is_click,sisa_expansion_acd,0.8267,0.825794,-0.0009059999999999624,0.8453083333333334,0.0066000238130883735,0.838596,0.85179,0.013194000000000039,0.01951433333333341,0.01860833333333345,True,True,True,True,0.0527,0.051701,-0.0009989999999999999,0.04999133333333333,0.0027602799374942624,0.047312,0.052826,0.005513999999999998,-0.0017096666666666649,-0.0027086666666666648,True,True,False,False,0.838596,0.049836,0.85179,0.047312,0.845539,0.052826
HyFormer,TencentGR_10M_Action,is_conversion,sisa_expansion_acd,0.8758,0.87668,0.0008799999999999919,0.8909236666666667,0.005550280563479082,0.886346,0.897097,0.010751000000000066,0.014243666666666654,0.015123666666666646,True,True,True,True,0.0185,0.018252,-0.0002479999999999982,0.017844666666666665,0.001030041908532529,0.016894,0.018939,0.0020450000000000017,-0.00040733333333333593,-0.0006553333333333342,True,True,False,False,0.886346,0.016894,0.897097,0.017701,0.889328,0.018939
RankMixer,KuaiRand_Video_Action,is_click,sisa_native_strict,0.781,0.780693,-0.00030700000000005723,0.7954916666666666,0.0011465711200502628,0.794759,0.796813,0.0020540000000000003,0.014798666666666627,0.01449166666666657,True,True,True,True,0.5408,0.541045,0.00024500000000005073,0.524181,0.0015428120429916302,0.522401,0.525134,0.0027329999999999854,-0.01686399999999999,-0.01661899999999994,True,True,True,True,0.794759,0.525008,0.794903,0.525134,0.796813,0.522401
RankMixer,KuaiRand_Video_Action,is_comment,sisa_native_strict,0.8845,0.884469,-3.100000000000325e-05,0.8921536666666666,0.002161768797381773,0.890161,0.894452,0.004291000000000045,0.007684666666666673,0.00765366666666667,True,True,True,True,0.0152,0.015211,1.1000000000000593e-05,0.014907333333333333,5.1733290377989314e-05,0.014853,0.014956,0.00010300000000000066,-0.00030366666666666736,-0.00029266666666666677,True,True,True,True,0.891848,0.014913,0.890161,0.014956,0.894452,0.014853
RankMixer,KuaiRand_Video_Action,is_follow,sisa_native_strict,0.8739,0.873795,-0.00010500000000002174,0.8801760000000001,0.0028300549464630536,0.87721,0.882847,0.005637000000000003,0.006381000000000081,0.006276000000000059,True,True,True,True,0.0064,0.006422,2.199999999999945e-05,0.006292333333333334,5.3594153910042326e-05,0.006237,0.006344,0.00010699999999999946,-0.00012966666666666595,-0.0001076666666666665,True,True,True,True,0.880471,0.006296,0.87721,0.006344,0.882847,0.006237
RankMixer,KuaiRand_Video_Action,is_forward,sisa_native_strict,0.8499,0.851098,0.0011980000000000324,0.864575,0.0039539229886278665,0.860017,0.867082,0.007064999999999988,0.013476999999999961,0.014674999999999994,True,True,True,True,0.0058,0.005811,1.1000000000000593e-05,0.005704333333333333,3.9627431576287395e-05,0.005663,0.005742,7.900000000000008e-05,-0.00010666666666666724,-9.566666666666664e-05,True,True,True,True,0.860017,0.005742,0.866626,0.005663,0.867082,0.005708
RankMixer,KuaiRand_Video_Action,is_like,sisa_native_strict,0.9241,0.923963,-0.00013700000000005375,0.9277576666666666,0.0007763828522921587,0.927295,0.928654,0.001358999999999999,0.003794666666666613,0.003657666666666559,True,True,True,True,0.0553,0.055584,0.00028399999999999953,0.053764,0.00017598011251275045,0.053569,0.053911,0.000342000000000002,-0.0018200000000000022,-0.0015360000000000026,True,True,True,True,0.927324,0.053812,0.927295,0.053911,0.928654,0.053569
RankMixer,KuaiRand_Video_Action,long_view,sisa_native_strict,0.8002,0.800238,3.799999999998249e-05,0.812847,0.0014437828784134962,0.81142,0.814307,0.002886999999999973,0.012608999999999981,0.012646999999999964,True,True,True,True,0.4539,0.453588,-0.00031200000000003447,0.44119200000000003,0.0017571715909381188,0.439336,0.44283,0.003493999999999997,-0.012395999999999963,-0.012707999999999997,True,True,True,True,0.81142,0.44283,0.812814,0.44141,0.814307,0.439336
